data_criacao;id;linguagem;tweet;nome_usuario;localizacao_usuario
"Tue Nov 03 23:23:56 +0000 2020";1323767898947670016;"en ";"RT @kromerpics: A few shots from this morning, while hanging out with nature at Merrill Creek and the Bushkill Creek. (PART1)  11/3/20 https…                                                         ";"Jeff Troyer         ";"Indianapolis, IN              "
"Tue Nov 03 23:23:56 +0000 2020";1323767898834436099;"tr ";"RT @Hakanah20598266: Merhaba. Biz Mansuroğlu mahallesinde oturan bir çiftiz. Ben Sağlık çalışanıyım. Evimiz ağır hasarlı, yıkım kararı veri…                                           ";"Selda               ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767898817658880;"pt ";"@jubaudelaire COMO ASSIM EU NÃO FIQUEI NEM NO TOP 3                                                                                                                                                    ";"p.                  ";"stars hollow                  "
"Tue Nov 03 23:23:56 +0000 2020";1323767898515542017;"th ";"@jubaudelaire COMO ASSIM EU NÃO FIQUEI NEM NO TOP 3                                                                                                                                                    ";"p.                  ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767898255417345;"ja ";"@jubaudelaire COMO ASSIM EU NÃO FIQUEI NEM NO TOP 3                                                                                                                                                    ";"ルイアーム     ";"                              "
"Tue Nov 03 23:23:55 +0000 2020";1323767898167533570;"tr ";"@CicekMakarac 3 tğüş34ğütğ 12i4ğş1""3                                                                                                                                                            ";"Şeyda bal          ";"                              "
"Tue Nov 03 23:23:55 +0000 2020";1323767898008158210;"ru ";"@CicekMakarac 3 tğüş34ğütğ 12i4ğş1""3                                                                                                                                                            ";"Şeyda bal          ";"Сеул                      "
"Tue Nov 03 23:23:55 +0000 2020";1323767897932574723;"es ";"Sebastián amigo Enrique París amigo  Allende.  3 Cerca deNiños  Mapocho Navegable   Pizza   Pediatra  Leche    Choros Teil… https://t.co/yy8kVgYl8L                                                ";"Sandra Sirhan       ";"                              "
"Tue Nov 03 23:23:55 +0000 2020";1323767897794224130;"en ";"RT @giornocore: i made the shey/they sapphic edit for @vivithecowboy !!! i hope u like it :3 https://t.co/htFF1axyLs                                                                                    ";"lar                 ";"READ CARRD BYF!!!             "
"Tue Nov 03 23:23:56 +0000 2020";1323767899819921409;"en ";"@MrNiceGuy18_58 Iron Man 3 is so forgettable                                                                                                                                                            ";;"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767899702628353;"es ";"@ELTIEMPO @JEP_Colombia 3 añosssss. Y no han hecho ni mierda. Que tristza                                                                                                                              ";"jcantor             ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767899639713801;"pt ";"[3/11 18:25]ana🥰:vem mimi comigo amor 🥺  [3/11 18:26]amor🥰:Vou pensar no seu caso  [3/11 18:26]ana🥰:não  [3/11 18:26]a… https://t.co/gffteifhV8                                          ";"jcantor             ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767899438358528;"pt ";"@omalestafeito @carmoafonso 3. O meu é duplo e sem gelo.  Mais um mandato de Trump vai ser muito difícil.                                                                                             ";"soundpeaks          ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767899169812480;"th ";"@omalestafeito @carmoafonso 3. O meu é duplo e sem gelo.  Mais um mandato de Trump vai ser muito difícil.                                                                                             ";"soundpeaks          ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767899022974976;"en ";"I’ve been nauseas for the past 3 days.                                                                                                                                                                ";"Jessica             ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767898947670016;"en ";"RT @kromerpics: A few shots from this morning, while hanging out with nature at Merrill Creek and the Bushkill Creek. (PART1)  11/3/20 https…                                                         ";"Jeff Troyer         ";"Indianapolis, IN              "
"Tue Nov 03 23:23:56 +0000 2020";1323767898834436099;"tr ";"RT @Hakanah20598266: Merhaba. Biz Mansuroğlu mahallesinde oturan bir çiftiz. Ben Sağlık çalışanıyım. Evimiz ağır hasarlı, yıkım kararı veri…                                           ";"Selda               ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767898817658880;"pt ";"@jubaudelaire COMO ASSIM EU NÃO FIQUEI NEM NO TOP 3                                                                                                                                                    ";"p.                  ";"stars hollow                  "
"Tue Nov 03 23:23:56 +0000 2020";1323767898515542017;"th ";"@jubaudelaire COMO ASSIM EU NÃO FIQUEI NEM NO TOP 3                                                                                                                                                    ";"p.                  ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767898255417345;"ja ";"@jubaudelaire COMO ASSIM EU NÃO FIQUEI NEM NO TOP 3                                                                                                                                                    ";"ルイアーム     ";"                              "
"Tue Nov 03 23:23:55 +0000 2020";1323767898167533570;"tr ";"@CicekMakarac 3 tğüş34ğütğ 12i4ğş1""3                                                                                                                                                            ";"Şeyda bal          ";"                              "
"Tue Nov 03 23:23:55 +0000 2020";1323767898008158210;"ru ";"@CicekMakarac 3 tğüş34ğütğ 12i4ğş1""3                                                                                                                                                            ";"Şeyda bal          ";"Сеул                      "
"Tue Nov 03 23:23:55 +0000 2020";1323767897932574723;"es ";"Sebastián amigo Enrique París amigo  Allende.  3 Cerca deNiños  Mapocho Navegable   Pizza   Pediatra  Leche    Choros Teil… https://t.co/yy8kVgYl8L                                                ";"Sandra Sirhan       ";"                              "
"Tue Nov 03 23:23:55 +0000 2020";1323767897794224130;"en ";"RT @giornocore: i made the shey/they sapphic edit for @vivithecowboy !!! i hope u like it :3 https://t.co/htFF1axyLs                                                                                    ";"lar                 ";"READ CARRD BYF!!!             "
